,T,f_0,f_1,f_2,f_3,f_4,f_5,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,psi_0,psi_1,psi_2,psi_3,psi_4,psi_5
0,1.9763846920300217,1305099156.0335133,1301834135.323141,1637873464.3316638,1578441217.2938042,1319317427.9334252,1858340598.6891146,True,True,True,True,True,True,0.90531319722938,0.9641840038517165,0.8815193138716759,0.964683304877414,0.9406765686080416,0.9550520390690743,5,5,5,5,6,5
1,1.5468676661505918,1415497290.0032558,2313751624.2609076,1324273313.8674572,1739631257.1626492,1572426422.1011763,1537738127.4042864,True,True,True,False,True,True,0.9470507258634454,0.9841090476356219,0.9054709099839019,0.9601187536503477,0.9630919347707999,0.9911907555415832,5,6,5,7,5,8
2,6.078142645639303,1520062737.760944,2426480036.501614,2378244481.755041,1441813091.0006158,1396148764.964367,1618026984.8428373,True,True,True,True,True,True,0.9669481106550922,0.9910185493372823,0.9899959202404757,0.9688769883377903,0.9807371845415273,0.9939527702352781,6,11,10,7,7,10
3,2.3854073607602553,1320789224.1784801,2626455178.5620713,1811930592.9358172,1332523461.383434,2054487530.391185,1345658856.1575844,True,True,False,True,True,True,0.9817853460361341,0.9932745938395974,0.9911900027159943,0.989593758841485,0.9997279152197945,0.9857880520902341,6,22,7,7,10,8
4,5.174243278298878,1721417064.9141781,2341873373.570703,1423517543.83953,1330983088.198693,2421546734.114493,1354114728.276904,True,True,True,True,True,True,0.9848379696944134,0.98862394043953,0.9875157879454626,0.9822533722489412,0.9941323000724573,0.9909212675573621,14,28,7,6,14,9
5,5.649452933265714,1309618890.1261227,2698328446.0081263,1444327486.517974,1723550458.9514616,1943826670.086707,1646546705.322647,True,True,True,True,True,True,0.979538843698078,0.9945547364816547,0.9965436881768329,0.9929751394179578,0.990821462579988,0.9894145970843752,8,11,13,8,20,12
6,3.582896278473483,1585828965.6175199,2598637136.584073,1307281830.9898512,1441724500.0525994,1448718154.8053699,1355414038.4090304,True,True,True,True,False,True,0.9794175726248493,0.9989227796001656,0.9977745246226782,0.9961010765768298,0.9995082616791165,0.992037988686319,9,11,14,10,10,17
7,3.497593861271618,1311059289.149995,1565480904.8354259,1304478658.9957936,1424738422.9128463,1300015960.0866454,1624329045.7683516,True,True,True,True,True,True,0.9948395977719303,0.991133702695437,0.9906776043667217,0.995339893078992,0.9934341022319295,0.9982875230445284,10,7,11,12,12,12
8,3.684753738105641,2208953508.45878,2589750922.1335654,1345672758.0769405,1468146845.7024071,1353824991.1214218,1408084574.7238216,False,True,True,True,True,True,0.9861576155928725,0.9813890999705981,0.983560902607228,0.9855639177797959,0.9974483931809732,0.9930520343417131,11,14,6,8,11,9
9,6.238740807336329,1369568967.5795786,2365515709.927889,1311457520.2118897,1438266877.0267448,1555732542.984036,1605844235.2124646,True,True,True,True,False,True,0.9984316543450431,0.9960726386621186,0.9792853357029367,0.9766435500332946,0.9894280647838576,0.9980061488987935,12,42,6,10,26,25
