,T,f_0,theta_0,f_1,theta_1,f_2,theta_2,f_3,theta_3,f_4,theta_4,f_5,theta_5,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,psi_0,psi_1,psi_2,psi_3,psi_4,psi_5,exec_time
0,14.996241381630252,1398308842.8836732,0.8237994316421976,1302834023.071596,0.7081963849590946,1376879662.9116719,0.722540922991795,1838033477.8716059,0.8489997025689543,1341958016.0255494,0.7215125607162648,1365302186.558978,0.7477772948858172,True,True,True,False,True,True,3,2,2,4,2,2,7.1067750453948975
1,1.0631319613884027,1300419433.5315905,0.8605469205553242,1520577672.779571,0.8631694812215934,2004339172.8023093,0.9153355929982586,1307462087.1651647,0.8260037808924271,1353616830.535207,0.8506986064056918,1576062687.3726025,0.889756393173489,True,True,False,True,True,True,3,3,4,3,3,4,7.055708169937134
2,1.2138689435070757,1349468288.5578098,0.8614917765396155,1304537375.9745393,0.8576426189543598,1333023960.187818,0.8427931188361398,1372754697.7512205,0.9258874377080367,1609912223.0547872,0.8672276944867703,1353941401.055443,0.8982273573503008,True,True,True,True,False,True,3,3,3,4,5,4,7.048657178878784
3,2.4696470756292253,1543014805.4255154,0.9103643234510205,2634809859.989021,0.9604366199579767,1308845574.5326953,0.9129146550507992,1570467852.061264,0.9187551947297421,1404109486.3443182,0.8606199967966246,1527477436.554351,0.9683020236831168,True,False,True,True,True,True,5,7,4,5,3,6,6.999190807342529
4,54.267613700806734,1318694351.5969582,0.9431515383003723,1315531753.2637043,0.9223863803983775,1346034367.1419694,0.9237543447501951,1554903760.8854003,0.9364891891451201,1380353443.395457,0.9248458467741629,1793857490.0180185,0.9902023220294267,True,True,True,True,True,False,5,4,5,4,4,9,7.002288341522217
5,3.676233674656036,1744402023.7597313,0.9855238450689939,1314873916.3971384,0.9461436911724294,1317160836.2981317,0.9305977868548247,1605391951.2862608,0.9817451941524287,1307051575.6723015,0.9349098605828702,1420356862.3253245,0.9662852980301398,False,True,True,False,True,True,9,6,4,7,4,7,6.971133708953857
6,6.202208881862615,1597200982.398275,0.9277082118169777,1323074034.6766138,0.973403238553604,1302749578.8069813,0.9349534726076005,1317725296.9222448,0.9543961000619196,1353194699.1264806,0.9355922674625933,1510324512.0475721,0.9933406756358476,False,True,True,True,True,False,6,6,4,5,4,12,6.951599359512329
7,3.6521208685196895,1334880677.4982984,0.9841426200077553,1445089782.7117848,0.9667438720436297,1305907215.1241188,0.9414416453033257,1324085591.553332,0.9518504018376526,1320483109.12675,0.968397116923298,1795406407.3356855,0.9137276501626395,True,False,True,True,True,False,7,6,5,5,5,9,6.9510321617126465
8,3.7577916666439175,2035225903.1477616,0.9948602178911342,1370330706.193127,0.9947031149663628,1316167873.2877865,0.9403873162457134,1309509562.130101,0.962117857729496,1889842448.9726763,0.9750740172688226,1369979766.2210445,0.9671474333213783,False,True,True,True,False,True,14,8,5,7,8,5,7.00075364112854
9,3.7565039417939845,1435897286.2010496,0.9556655518036931,1300773199.1982582,0.9957842293538243,1322125721.4321525,0.9335926455253928,1300439538.7208273,0.9669570141569778,1313782745.418701,0.9669857088067974,1330693735.411564,0.9592163230333111,False,True,True,True,True,True,10,9,5,6,5,5,6.972853183746338
